name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through,candidate_inactive,inactive_election_years
"WAGNER , JOHN ",P,President,CON,CONSTITUTION PARTY,US,00,0,{00},{2020},{2020},N,,,2020-07-01 21:10:58,2020-06-02,2020-06-02,2020-06-02,P00016410,2020,f,
"SHARPE, PHILLIP ANTHONY MR SR.",P,President,W,WRITE-IN,US,00,0,{00},{2020},{2020},N,,,2020-07-02 21:11:49,2020-07-02,2020-07-02,2020-07-02,P00016428,2020,f,
"ZIMMERMAN, CURTIS",P,President,UNK,UNKNOWN,US,00,0,{00},{2020},{2020},N,,,2020-07-05 21:08:58,2020-07-04,2020-07-04,2020-07-04,P00016436,2020,f,
"SIEBOLD, KARIN ARLENE",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,,,2020-07-05 21:08:58,2020-07-04,2020-07-04,2020-07-04,P00016451,2020,f,
"POORE, CHASE MR.",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,,,2020-07-06 21:17:31,2020-07-06,2020-07-06,2020-07-06,P00016527,2020,f,
"CARRON, JOSEPH ALLEN",P,President,NNE,NONE,US,00,0,{00},{2020},{2020},N,,,2020-07-06 21:17:31,2020-07-06,2020-07-06,2020-07-06,P00016535,2020,f,
"PIERCE, BROCK",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,,,2020-07-06 21:17:31,2020-07-06,2020-07-06,2020-07-06,P00016550,2020,f,
"OBRIEN, JAMES RICHARD SR",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,,,2020-07-07 21:12:36,2020-07-07,2020-07-07,2020-07-07,P00016576,2020,f,
"WILLIAMS, WILLIAMS ELIZABETH (ADDISON) REVEREND",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,,,2020-07-07 21:12:36,2020-07-07,2020-07-07,2020-07-07,P00016584,2020,f,
"RICE, DAVID MICHAEL",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2012,2020}","{2012,2014,2016,2020}",N,C,Challenger,2019-06-10 21:08:12,2011-08-18,2019-05-31,2019-05-31,P20003315,2020,f,
"PILLSBURY-FOSTER, MELINDA",P,President,OTH,OTHER,US,00,0,"{00,00}","{2012,2020}","{2012,2014,2020}",N,C,Challenger,2020-03-10 21:13:49,2020-02-24,2020-05-07,2020-02-24,P20004222,2020,f,
"SHREFFLER, DOUG (I)",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2012,2014,2016,2018,2020}",C,C,Challenger,2019-08-14 21:21:36,2012-11-06,2019-08-14,2019-08-14,P20005229,2020,f,
"BUKEWIHGE, EDIE",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00,00}","{2004,2016,2020}","{2004,2006,2008,2016,2020}",N,C,Challenger,2019-04-09 21:06:31,2003-07-16,2019-03-25,2019-03-25,P40002909,2020,f,
"ASHBY, STEPHAN BLAKE",P,President,LIB,LIBERTARIAN PARTY,US,00,0,"{00,00,00}","{2004,2008,2020}","{2004,2008,2010,2020}",N,C,Challenger,2019-12-30 21:08:41,2003-11-28,2019-09-16,2019-09-16,P40003170,2020,f,
"LLOYD, JUNE LA'GAY",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2013-09-27,2016-12-27,2016-12-14,P60004991,2020,f,
"EMRIT, RONALD SATISH",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2014-10-20,2018-03-15,2018-03-15,P60005535,2020,f,
"SPEARS, ALAN ERROL ESQ.",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-06-10 21:08:12,2015-02-09,2019-05-15,2019-05-15,P60005790,2020,f,
"RAPHAEL, DAVID MD",P,President,OTH,OTHER,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-06-10 21:08:12,2015-02-27,2019-05-07,2019-04-23,P60005865,2020,f,
"WHITE, DANIEL",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-04-09,2017-03-27,2017-03-27,P60006491,2020,f,
"SANDERS, BERNARD",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",C,C,Challenger,2019-05-16 21:09:24,2015-04-30,2019-02-19,2019-02-19,P60007168,2020,f,
"SNYDER, SPENCER ERIC MR.",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-05-03,2017-05-15,2017-05-15,P60007184,2020,f,
"PIATT, MARTY",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-08-23 22:05:29,2015-05-05,2019-07-30,2019-07-30,P60007283,2020,f,
"MANLEY, ELIJAH",P,President,SOC,SOCIALIST PARTY U.S.A.,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-03-25 21:06:42,2015-06-10,2019-03-18,2019-03-18,P60007895,2020,f,
"REID, DERRICK MICHAEL",P,President,LIB,LIBERTARIAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-06-23,2018-04-04,2018-03-07,P60008281,2020,f,
"ERWIN, FRANKLIN JAMES",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-07-28,2017-02-28,2017-02-28,P60009230,2020,f,
"FIRMANI, JAMES PARIS",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-07-29,2018-05-24,2018-05-24,P60009297,2020,f,
EDEN,P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-07-30 21:25:26,2015-08-04,2019-07-29,2019-07-29,P60009495,2020,f,
"MARTIN SR, ALONZO TABLET",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-08-18,2017-10-16,2017-10-04,P60009909,2020,f,
"ESPINOSA, GEBY E",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-11-13 21:09:51,2015-08-19,2019-10-25,2019-10-25,P60009958,2020,f,
"DOVER, BENJAMIN",P,President,OTH,OTHER,US,00,0,"{00,00}","{2016,2020}","{2016,2020}",N,C,Challenger,2020-02-27 22:00:38,2015-08-20,2020-02-27,2020-02-27,P60010857,2020,f,
"KOPITKE, KYLE KENLEY",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-07-23 21:24:02,2015-09-17,2019-07-16,2019-07-16,P60015419,2020,f,
"WRIGHT, ISHAH LAURAH",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-18,2019-12-18,2019-12-18,P40003931,2020,f,
"FAHL, MICHAEL TRAVIS",P,President,OTH,OTHER,US,00,0,"{00,00}","{2016,2020}","{2016,2020}",N,C,Challenger,2019-08-23 22:05:29,2015-09-19,2019-07-26,2019-07-26,P60015526,2020,f,
"WILLIAMS, SAUL III",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-02-13 21:28:01,2015-09-28,2019-01-29,2019-01-29,P60015948,2020,f,
"LAYTON, NYLE BENJAMIN MR",P,President,LIB,LIBERTARIAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2020}",N,C,Challenger,2019-03-26 21:06:53,2016-01-27,2019-03-25,2019-03-25,P60019387,2020,f,
"VAN DUREN, GABRIEL ELIAS",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-02-27,2017-02-19,2017-02-19,P60020047,2020,f,
"HALE, DAKOTA",P,President,LIB,LIBERTARIAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-08-04,2017-04-19,2017-04-14,P60022480,2020,f,
"KRONBERG, JOSHUA REESE",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-02-07,2017-02-07,2017-02-07,P60023660,2020,f,
"JONES, ARNOLD MATTHEW",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2008,2020}","{2006,2008,2018,2020}",N,C,Challenger,2019-03-25 21:06:42,2005-04-04,2019-03-08,2019-03-08,P80002876,2020,f,
"CHERRICKS, LIZA DAWN",P,President,IND,INDEPENDENT,US,00,0,"{00,00,00,00,00}","{2008,2012,2016,2018,2020}","{2008,2010,2012,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2007-03-06,2017-07-24,2017-07-24,P80003890,2020,f,
"BILLINGS-ELIAS, CHRISTINA GERASIMOS",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00,00}","{2008,2016,2020}","{2008,2010,2012,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2007-04-03,2018-11-29,2018-11-06,P80004120,2020,f,
"THOMAS, JUDAH",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2020}",N,C,Challenger,2019-06-10 21:08:12,2015-04-10,2019-05-13,2019-05-13,P60006574,2020,f,
"VAN RAAM, DOUGLAS SCOTT",P,President,OTH,OTHER,US,00,0,"{00,00,00}","{2008,2012,2020}","{2008,2012,2020}",N,C,Challenger,2020-02-14 21:29:08,2008-02-27,2020-02-10,2020-02-10,P80005358,2020,f,
"HEWES, HENRY",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00,00}","{2008,2016,2020}","{2008,2010,2016,2018,2020}",C,C,Challenger,2019-05-16 21:09:24,2007-09-19,2019-03-26,2019-03-26,P80004765,2020,f,
"PINNAVAIA, MATTHEW D",P,President,UNK,UNKNOWN,US,00,0,"{00,00,00,00}","{2008,2012,2016,2020}","{2008,2012,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2007-05-29,2017-02-21,2017-02-21,P80004328,2020,f,
"ELLIOTT, CLAIRE ELISABETH",P,President,IND,INDEPENDENT,US,00,0,"{00,00,00}","{2008,2016,2020}","{2008,2010,2012,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2007-02-02,2018-04-26,2018-04-26,P80003643,2020,f,
"ZAGO, SHAY",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-01-27,2017-02-24,2017-01-27,P60023736,2020,f,
"PUSKAR, MICHAEL BRANDON",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-09-03 21:09:24,2016-07-04,2019-09-02,2019-09-02,P60022043,2020,f,
"GREENSTEIN, MARK",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2020}",N,C,Challenger,2019-11-25 21:06:05,2016-05-13,2019-11-15,2019-11-15,P60021508,2020,f,
"GUILLAUME, GREGORY MARK",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-04-25,2018-11-21,2018-11-21,P60021128,2020,f,
"MALDONADO, JOSEPH A",P,President,LIB,LIBERTARIAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-11-23,2017-01-13,2017-01-13,P60018249,2020,f,
"WEST, KEVIN",P,President,UN,UNAFFILIATED,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-11-20,2017-04-04,2017-04-03,P60018066,2020,f,
"PRAG, CHOMI",P,President,NNE,NONE,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-10-15,2018-03-29,2018-03-29,P60016920,2020,f,
"HAKEEM, JAWAD HASHEM",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-09-14,2017-05-15,2017-05-15,P60015278,2020,f,
"ROBINSON JR, JACK BURTON",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-12-20 21:12:51,2015-09-08,2019-12-20,2019-12-20,P60014909,2020,f,
"TAUBE, DERICK DEAN",P,President,W,WRITE-IN,US,00,0,"{00,00}","{2016,2020}","{2016,2020}",N,C,Challenger,2020-03-18 21:13:37,2015-08-31,2020-03-11,2020-03-11,P60014222,2020,f,
"PRESTE, PAUL GEORGE",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-08-11,2017-02-13,2016-12-29,P60012325,2020,f,
"CHAFEE, LINCOLN DAVENPORT MR.",P,President,LIB,LIBERTARIAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2016,2020}",C,C,Challenger,2020-02-25 21:10:04,2015-06-16,2020-01-16,2020-01-16,P60008075,2020,f,
"THOMPSON, MORRIS KENT",P,President,UN,UNAFFILIATED,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-06-10 21:08:12,2015-06-08,2019-05-08,2019-04-15,P60007770,2020,f,
"HAHN, TINA JAYNE MISS",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2020-05-17 21:09:15,2015-03-03,2020-05-17,2020-05-17,P60005949,2020,f,
"SMITH, KEITH",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2014-09-22,2018-07-02,2018-07-02,P60005469,2020,f,
"JUSTICE, BRENDA DAWN",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2014,2016,2018,2020}",N,C,Challenger,2019-11-25 21:06:05,2014-04-15,2019-12-16,2019-11-18,P60005261,2020,f,
"SCHIESS, JOHN T",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2014-02-21,2017-01-23,2017-01-23,P60005170,2020,f,
"CAMPBELL, JOHNNIE C",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2016,2020}","{2014,2016,2018,2020}",N,C,Challenger,2019-11-25 21:06:05,2019-11-21,2019-11-21,2019-11-21,P60005147,2020,f,
"NOBLE, SANDRA",P,President,OTH,OTHER,US,00,0,"{00,00,00,00}","{1996,2004,2008,2020}","{1996,1998,2004,2006,2008,2010,2012,2014,2016,2020}",N,C,Challenger,2019-04-16 21:11:06,1996-02-07,2019-11-20,2019-04-15,P60004272,2020,f,
"SANDERA, ROBERT WILLIAM",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00,00}","{2012,2016,2020}","{2012,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2012-05-02,2017-04-19,2017-04-19,P20004909,2020,f,
"JACOB-FAMBRO, PRINCESS KHADIJAH M",P,President,IND,INDEPENDENT,US,00,0,"{00,00,00}","{2012,2016,2020}","{2012,2014,2016,2018,2020}",N,C,Challenger,2020-02-14 21:29:08,2012-02-29,2020-02-11,2020-02-11,P20004768,2020,f,
"ELY, BOB (ROBERT MOULTON-ELY)",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2012,2020}","{2012,2020}",C,C,Challenger,2020-02-27 22:00:38,2011-12-06,2019-11-13,2019-11-13,P20004347,2020,f,
"WHEELOCK, TERRY WAYNE",P,President,IND,INDEPENDENT,US,00,0,"{00,00,00}","{2012,2016,2020}","{2012,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2011-11-23,2017-04-25,2017-04-25,P20004099,2020,f,
"HAHN, VERN LEROY",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2012,2020}","{2012,2020}",N,C,Challenger,2020-02-14 21:29:08,2011-09-20,2020-03-02,2020-02-10,P20003521,2020,f,
"SPONHEIM, DAVID JON",P,President,OTH,OTHER,US,00,0,"{00,00,00}","{2012,2016,2020}","{2012,2014,2016,2018,2020}",N,C,Challenger,2019-04-09 21:06:31,2011-07-26,2019-04-08,2019-04-08,P20003174,2020,f,
"KERR. AKA JONES/LEVARDI, SUSAN MARY MS.",P,President,IDP,INDEPENDENCE PARTY,US,00,0,{00},{2020},{2020},N,,,2020-07-09 22:22:46,2020-07-09,2020-07-09,2020-07-09,P00016626,2020,f,
"BAUM, BRENDAN",P,President,COM,COMMUNIST PARTY,US,00,0,{00},{2020},{2020},N,,,2020-07-09 22:22:46,2020-07-09,2020-07-09,2020-07-09,P00016600,2020,f,
"FAIRCHILD, TYRONE",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,,,2020-07-06 21:17:31,2020-07-05,2020-07-05,2020-07-05,P00016519,2020,f,
"COXLONG, MIKE E MR.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,,,2020-07-01 21:10:58,2020-06-30,2020-06-30,2020-06-30,P00016402,2020,f,
"LOEB, ABRAM S",P,President,W,WRITE-IN,US,00,0,{00},{2020},{2020},N,,,2020-06-25 21:21:33,2020-06-24,2020-06-24,2020-06-24,P00016329,2020,f,
"CHUNGUS, BIG",P,President,I,,US,00,0,{00},{2020},{2020},N,,,2020-06-13 21:07:12,2020-06-12,2020-06-12,2020-06-12,P00016287,2020,f,
"LOGAN, FRANK MITCHELL",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,,,2020-06-09 21:10:54,2020-06-09,2020-06-09,2020-06-09,P00016246,2020,f,
"JENKINS, ALISON",P,President,NNE,NONE,US,00,0,{00},{2020},{2020},N,,,2020-06-09 21:10:54,2020-06-09,2020-06-09,2020-06-09,P00016238,2020,f,
"HAUSER, ASHTON JAMES",P,President,UC,UNITED CITIZEN,US,00,0,{00},{2020},{2020},N,,,2020-06-01 21:11:12,2020-06-01,2020-06-10,2020-06-01,P00016170,2020,f,
"LIONS, LYONS TOWNSHIP TUBBO",P,President,TX,TAXPAYERS,US,00,0,{00},{2020},{2020},N,,,2020-05-19 21:17:44,2020-05-19,2020-05-19,2020-05-19,P00016113,2020,f,
"MCCUTCHEON, SHAUN",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-19 21:17:44,2020-05-06,2020-05-06,2020-05-06,P00016030,2020,f,
"ISHMAN, BRADLEY WILLIAM",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-05-03,2020-05-03,2020-05-03,P00016006,2020,f,
"BUKER, MATTHEW",P,President,VET,VETERANS PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-04-28,2020-04-28,2020-04-28,P00015974,2020,f,
"GRAY, JIM",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-04-17,2020-04-17,2020-04-17,P00015933,2020,f,
"WALTON, GREG",P,President,OTH,OTHER,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-04-16,2020-04-16,2020-04-16,P00015925,2020,f,
"BUCCOLA, BRANDON PAUL",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-04-15,2020-04-15,2020-04-15,P00015917,2020,f,
"RAMOS, DOMINGO DE JESUS MR",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-04-08,2020-04-08,2020-04-08,P00015834,2020,f,
"CASH, JOHN DARYL",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-04-07,2020-04-07,2020-04-07,P00015826,2020,f,
"BROWN, KEITH",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-04-05,2020-04-05,2020-04-05,P00015784,2020,f,
"BARBETTA, CONSUELO MARIE",P,President,HRP,HUMAN RIGHTS PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-03-31,2020-03-31,2020-03-31,P00015776,2020,f,
"WOODS, TUBBO FAT MR.",P,President,COM,COMMUNIST PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-05 21:11:57,2020-03-24,2020-03-24,2020-03-24,P00015743,2020,f,
"HOBBS, RICHARD",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-03-18 21:13:37,2020-03-17,2020-03-17,2020-03-17,P00015727,2020,f,
"BENEDIX, DANIEL",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-02-27 22:00:38,2020-02-26,2020-02-26,2020-02-26,P00015602,2020,f,
"CONONE, KURT ANTHONY",P,President,UNK,UNKNOWN,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-02-27 22:00:38,2020-02-24,2020-05-07,2020-02-24,P00015578,2020,f,
"O''KALANI, KEIKI",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-02-27 22:00:38,2020-02-18,2020-02-18,2020-02-18,P00015552,2020,f,
"MARCOPOLUS, ALEXANDER",P,President,UN,UNAFFILIATED,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-02-14 21:29:08,2020-02-08,2020-02-08,2020-02-08,P00015404,2020,f,
"CHANDLER, PATRICIA ELAINE MS.",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-02-14 21:29:08,2020-02-01,2020-02-01,2020-02-01,P00015321,2020,f,
"AVOURIS, AARON PATRICK",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-01-31 21:11:28,2020-01-29,2020-01-29,2020-01-29,P00015297,2020,f,
"KIM, JASON CHANGKYU",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-05-23 21:56:09,2020-01-18,2020-05-23,2020-05-23,P00015214,2020,f,
"JEFFERSON, DEMONDRIA",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2020-01-03 21:09:36,2019-12-29,2019-12-29,2019-12-29,P00014977,2020,f,
"BOLES, SKY",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-28,2020-01-14,2019-12-28,P00014951,2020,f,
"HAMILL, PETER PATRICKDEAN",P,President,W,WRITE-IN,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-28,2019-12-28,2019-12-28,P00014944,2020,f,
"WHITNEYIII, ELLERTON PRATT MARK",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-19,2019-12-19,2019-12-19,P00014852,2020,f,
"PATTERSON-STRONG, LAUREN ASHLEY DR.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-11,2019-12-11,2019-12-11,P00014803,2020,f,
"BROWN, KYLE S",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-09,2019-12-19,2019-12-09,P00014761,2020,f,
"SNYDER, ROY EUGENE",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-05,2019-12-05,2019-12-05,P00014738,2020,f,
"STEFAN, CHRISTOPHER",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-04,2019-12-18,2019-12-04,P00014704,2020,f,
"AFZAL, INNAYA FATIMA MS.",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-12-03,2019-12-03,2019-12-03,P00014688,2020,f,
"NELSON, NATHANIEL DAVID",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-11-29,2019-11-29,2019-11-29,P00014621,2020,f,
"GRIMALDI, ANIELLO REV",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-12-30 21:08:41,2019-11-26,2019-11-26,2019-11-26,P00014605,2020,f,
"HENDERSON, JOSEPH RONALD",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-11-25 21:06:05,2019-11-21,2019-11-21,2019-11-21,P00014548,2020,f,
"BLOOMBERG, MICHAEL R.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},C,C,Challenger,2020-02-04 21:27:31,2019-11-21,2020-01-31,2020-01-31,P00014530,2020,f,
"COLLINS, PHIL",P,President,NAP,PROHIBITION PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-11-25 21:06:05,2019-11-21,2019-11-21,2019-11-21,P00014522,2020,f,
"BADRAN, PRECIOUS SHIRLEY",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-11-25 21:06:05,2019-11-20,2019-11-20,2019-11-20,P00014514,2020,f,
"BRAFORD, THOMAS ARTHUR MR.",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-11-25 21:06:05,2019-11-15,2019-11-15,2019-11-15,P00014456,2020,f,
"MATERN, MATTHEW",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},C,C,Challenger,2020-02-04 21:27:31,2019-11-08,2019-11-08,2019-11-08,P00014340,2020,f,
"FEHRMAN, BRIAN CHRISTOPHER",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-11-13 21:09:51,2019-11-08,2019-11-08,2019-11-08,P00014274,2020,f,
"MEDEIROS, JOHN MANIMAS MR.",P,President,W,WRITE-IN,US,00,0,{00},{2020},{2020},C,C,Challenger,2020-07-01 21:10:58,2019-10-28,2019-10-28,2019-10-28,P00014126,2020,f,
"VITATEAUX, KRISJIAN",P,President,OTH,OTHER,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-10-25 21:28:14,2019-10-23,2019-10-23,2019-10-23,P00014076,2020,f,
